type,correct,n,k,p,s,e,g_threshold,t_mean,t_stdev,t_q0,t_q1,t_q2,t_q3,t_q4
parallel_ranks_k_way_mergesort,1,4,8,2,1.918793600,0.959396800,4096,8.134369416,0.071955711,8.045663464,8.096605824,8.138908801,8.176672394,8.213996599
parallel_mergesort,1,4,,4,2.582974543,0.645743636,1024,2.244283841,0.124972067,2.160806518,2.167802149,2.194217916,2.270699608,2.427893013
parallel_k_way_mergesort,1,4,4,4,2.949523525,0.737380881,1024,2.090889477,0.105495465,2.008325735,2.033614340,2.055229604,2.112504741,2.244772965
parallel_k_way_mergesort,1,4,8,4,2.768966635,0.692241659,1024,1.966523503,0.017959610,1.940978405,1.962679635,1.971060662,1.974904530,1.982994283
parallel_ranks_mergesort,1,4,,4,2.653194945,0.663298736,1024,2.352692410,0.115616058,2.252868370,2.286889869,2.320346285,2.386148826,2.517208697
parallel_ranks_k_way_mergesort,1,4,4,4,3.603032014,0.900758004,1024,5.297294220,0.140627963,5.214236760,5.225932724,5.233599685,5.304961182,5.507740751
parallel_ranks_k_way_mergesort,1,4,8,4,3.386538324,0.846634581,1024,5.018625482,0.518389185,4.752112377,4.752852590,4.763158565,5.028931458,5.796072419
parallel_mergesort,1,4,,4,2.748064886,0.687016221,4096,2.148973606,0.025105328,2.132695518,2.133536543,2.138635235,2.154072298,2.185928437
parallel_k_way_mergesort,1,4,4,4,3.088020691,0.772005173,4096,2.007363969,0.007323240,2.001148186,2.003680911,2.005183277,2.008866335,2.017941137
parallel_k_way_mergesort,1,4,8,4,2.760058767,0.690014692,4096,1.971041986,0.047895506,1.933500415,1.934215487,1.958116614,1.994943112,2.034434298
parallel_ranks_mergesort,1,4,,4,2.931803510,0.732950877,4096,2.058507230,0.027497180,2.032291278,2.036110400,2.058444766,2.080841596,2.084848110
parallel_ranks_k_way_mergesort,1,4,4,4,3.489587727,0.872396932,4096,4.957185969,0.072185935,4.916433439,4.920951831,4.923483847,4.959717985,5.065342743
parallel_ranks_k_way_mergesort,1,4,8,4,3.632490526,0.908122632,4096,4.296824964,0.036133664,4.258576192,4.272391623,4.294589679,4.319023020,4.339544308
parallel_mergesort,1,4,,8,3.938814875,0.492351859,1024,1.471744220,0.029441400,1.429006891,1.463942538,1.482800746,1.490602428,1.492368497
parallel_k_way_mergesort,1,4,4,8,3.774435192,0.471804399,1024,1.633920676,0.033096058,1.600003484,1.613661046,1.629406277,1.649665907,1.676866666
parallel_k_way_mergesort,1,4,8,8,3.478915997,0.434864500,1024,1.565211110,0.045411800,1.539931369,1.541612165,1.543835349,1.567434293,1.633242372
parallel_ranks_mergesort,1,4,,8,4.349431595,0.543678949,1024,1.435164911,0.048855559,1.388067470,1.415270965,1.424396998,1.444290944,1.503798178
parallel_ranks_k_way_mergesort,1,4,4,8,5.646395551,0.705799444,1024,3.380266312,0.093622785,3.294980625,3.306640102,3.367789878,3.441416089,3.490504866
parallel_ranks_k_way_mergesort,1,4,8,8,5.929591421,0.741198928,1024,2.866262836,0.032970842,2.842725475,2.849125178,2.853650925,2.870788583,2.915024020
parallel_mergesort,1,4,,8,4.023837563,0.502979695,4096,1.467633525,0.048807927,1.434095196,1.441387513,1.448241317,1.474487329,1.539956273
parallel_k_way_mergesort,1,4,4,8,3.958213530,0.494776691,4096,1.566055349,0.010919214,1.557033689,1.558131085,1.563225121,1.571149385,1.580737464
parallel_k_way_mergesort,1,4,8,8,3.554850746,0.444356343,4096,1.530357278,0.008862277,1.519951946,1.524660364,1.531159253,1.536856167,1.539158660
parallel_ranks_mergesort,1,4,,8,4.744628008,0.593078501,4096,1.271994077,0.059461819,1.215880248,1.234079812,1.260118106,1.298032370,1.351859846
parallel_ranks_k_way_mergesort,1,4,4,8,5.567004844,0.695875606,4096,3.107332543,0.033281371,3.067369998,3.086276056,3.112447447,3.133503934,3.137065278
parallel_ranks_k_way_mergesort,1,4,8,8,5.865813896,0.733226737,4096,2.660871322,0.025122992,2.638308978,2.647457002,2.654336186,2.667750506,2.696503939
