type,correct,n,k,p,s,e,g_threshold,t_mean,t_stdev,t_q0,t_q1,t_q2,t_q3,t_q4
parallel_ranks_mergesort,1,4,,8,3.743152895,0.467894112,1024,0.019045148,0.001661177,0.016883464,0.018266592,0.019273910,0.020052465,0.020749306
parallel_ranks_k_way_mergesort,1,4,4,8,5.412406180,0.676550772,1024,0.045444674,0.000928286,0.044340071,0.045128562,0.045413437,0.045729549,0.046611752
parallel_ranks_k_way_mergesort,1,4,8,8,5.651586303,0.706448288,1024,0.039232398,0.000725160,0.038428620,0.038749103,0.039231235,0.039714530,0.040038501
parallel_mergesort,1,4,,8,3.727217137,0.465902142,4096,0.017775600,0.001051922,0.016918024,0.017098752,0.017462115,0.018138962,0.019260145
parallel_k_way_mergesort,1,4,4,8,3.859542526,0.482442816,4096,0.019929890,0.000357392,0.019494725,0.019810137,0.019927525,0.020047277,0.020369785
parallel_k_way_mergesort,1,4,8,8,3.367584890,0.420948111,4096,0.020073805,0.000123683,0.019952315,0.019978648,0.020066511,0.020161668,0.020209885
parallel_ranks_mergesort,1,4,,8,4.501490578,0.562686322,4096,0.015371129,0.001515451,0.013588733,0.014637451,0.015330440,0.016064117,0.017234905
parallel_ranks_k_way_mergesort,1,4,4,8,5.614654715,0.701831839,4096,0.042798444,0.000795785,0.042025321,0.042208576,0.042711622,0.043301489,0.043745211
parallel_ranks_k_way_mergesort,1,4,8,8,5.472675145,0.684084393,4096,0.039272280,0.001245339,0.038594300,0.038610200,0.038678540,0.039340620,0.041137741
sequential_mergesort,1,4,,,,,,0.299928806,0.002945214,0.296942048,0.297997171,0.299557789,0.301489424,0.303657600
sequential_k_way_mergesort,1,4,4,,,,,0.339877384,0.000912276,0.338942059,0.339171311,0.339943409,0.340649481,0.340680659
sequential_k_way_mergesort,1,4,8,,,,,0.304347820,0.001317190,0.303180650,0.303341885,0.304107845,0.305113780,0.305994941
parallel_mergesort,1,4,,1,,,1024,0.300221156,0.002621358,0.297939258,0.298467655,0.299570213,0.301323714,0.303804940
parallel_k_way_mergesort,1,4,4,1,,,1024,0.340975337,0.000260450,0.340672879,0.340862517,0.340961424,0.341074244,0.341305620
parallel_k_way_mergesort,1,4,8,1,,,1024,0.313380034,0.005162356,0.307512520,0.310917717,0.313020187,0.315482505,0.319967243
parallel_ranks_mergesort,1,4,,1,,,1024,0.324183505,0.002366389,0.322223704,0.322486361,0.323564170,0.325261313,0.327381975
parallel_ranks_k_way_mergesort,1,4,4,1,,,1024,1.081003251,0.014277436,1.073171128,1.073881626,1.074217804,1.081339429,1.102406267
parallel_ranks_k_way_mergesort,1,4,8,1,,,1024,1.605353146,0.009628602,1.594940252,1.598861898,1.605032659,1.611523907,1.616407015
parallel_mergesort,1,4,,1,,,4096,0.302219525,0.003553081,0.297938866,0.300107357,0.302502978,0.304615146,0.305933278
parallel_k_way_mergesort,1,4,4,1,,,4096,0.339841704,0.000237410,0.339693916,0.339725387,0.339738237,0.339854553,0.340196426
parallel_k_way_mergesort,1,4,8,1,,,4096,0.306398306,0.000258142,0.306182268,0.306279326,0.306318894,0.306437873,0.306773169
parallel_ranks_mergesort,1,4,,1,,,4096,0.312058794,0.001462337,0.309869938,0.311987309,0.312723440,0.312794925,0.312918360
parallel_ranks_k_way_mergesort,1,4,4,1,,,4096,1.009179641,0.001487519,1.006969655,1.008965519,1.009823056,1.010037179,1.010102796
parallel_ranks_k_way_mergesort,1,4,8,1,,,4096,1.550497706,0.003448648,1.545461421,1.549772976,1.551695096,1.552419826,1.553139210
parallel_mergesort,1,4,,2,1.883403171,0.941701586,1024,0.159403553,0.000985834,0.158725060,0.158875450,0.159012365,0.159540468,0.160864420
parallel_k_way_mergesort,1,4,4,2,1.800024926,0.900012463,1024,0.189428119,0.000598959,0.188889927,0.189032697,0.189290947,0.189686369,0.190240657
parallel_k_way_mergesort,1,4,8,2,1.785964513,0.892982257,1024,0.175468231,0.000568894,0.174906133,0.175093056,0.175382934,0.175758109,0.176200924
parallel_ranks_mergesort,1,4,,2,1.835897628,0.917948814,1024,0.176580382,0.000838564,0.175542434,0.176161350,0.176626655,0.177045687,0.177525785
parallel_ranks_k_way_mergesort,1,4,4,2,1.912602510,0.956301255,1024,0.565200163,0.001954775,0.562289680,0.564991218,0.566019691,0.566228636,0.566471591
parallel_ranks_k_way_mergesort,1,4,8,2,1.808463590,0.904231795,1024,0.887688950,0.003092904,0.884701199,0.885344385,0.887386465,0.889731031,0.891281672
parallel_mergesort,1,4,,2,1.861874698,0.930937349,4096,0.162320013,0.002870742,0.159241140,0.160191719,0.162611420,0.164739714,0.164816071
parallel_k_way_mergesort,1,4,4,2,1.790941156,0.895470578,4096,0.189755929,0.000454604,0.189237777,0.189453575,0.189780117,0.190082472,0.190225707
parallel_k_way_mergesort,1,4,8,2,1.732945872,0.866472936,4096,0.176807776,0.000689744,0.176161994,0.176236648,0.176819613,0.177390741,0.177429884
parallel_ranks_mergesort,1,4,,2,1.921251705,0.960625853,4096,0.162424732,0.001531130,0.160369579,0.161977482,0.162631285,0.163078535,0.164066781
parallel_ranks_k_way_mergesort,1,4,4,2,1.874246089,0.937123045,4096,0.538445643,0.003176430,0.535649682,0.535807843,0.538096603,0.540734404,0.541939684
parallel_ranks_k_way_mergesort,1,4,8,2,1.865641618,0.932820809,4096,0.831080144,0.006486676,0.825725554,0.826234548,0.829468333,0.834313930,0.839658357
parallel_mergesort,1,4,,4,2.568270839,0.642067710,1024,0.116896221,0.007839433,0.112053448,0.113052500,0.113459253,0.117302975,0.128612931
